,平均交易量
彰銀         ,5817
得力         ,15498
微星         ,7742
德律         ,1437
德淵         ,100
志信         ,214
志聖         ,145
志聯         ,157
志超         ,900
怡利電       ,773
怡華         ,0
恒大         ,2302
恩德         ,182
悅城         ,193
愛山林       ,17
慧友         ,1050
慧洋-KY      ,1305
慶豐富       ,247
憶聲         ,198
懷特         ,1525
成霖         ,200
所羅門       ,107
承啟         ,184
承業醫       ,273
技嘉         ,976
拓凱         ,47
振樺電       ,130
捷泰         ,111
揚博         ,275
揚明光       ,266
揚智         ,1069
敦南         ,749
敦吉         ,71
敦泰         ,4004
敦陽科       ,260
敬鵬         ,1302
文曄         ,584
新世紀       ,1812
新保         ,206
新光金       ,23627
新光鋼       ,239
新利虹       ,283
新唐         ,116
新天地       ,15
新巨         ,1085
新建         ,1457
新日興       ,6625
新海         ,97
新產         ,126
新紡         ,34
新纖         ,1145
新美齊       ,590
新至陞       ,95
新興         ,679
新鋼         ,47
新麗         ,129
日勝化       ,241
日勝生       ,1603
日友         ,587
日電貿       ,82
日馳         ,210
旭富         ,1055
旭隼         ,180
旺宏         ,6804
旺旺保       ,91
昆盈         ,217
昇貿         ,215
昇陽         ,138
明基材       ,523
明泰         ,2369
明輝-DR      ,24
星通         ,53
映泰         ,84
春源         ,258
春雨         ,193
昭輝         ,1174
昶和         ,29
晟鈦         ,397
晟銘電       ,358
晨訊科-DR    ,94
普安         ,385
景岳         ,657
景碩         ,1760
晶彩科       ,140
晶技         ,1545
晶睿         ,327
晶華         ,217
晶豪科       ,1427
晶電         ,16520
智原         ,3256
智寶         ,731
智易         ,407
智邦         ,764
本盟         ,23
杏輝         ,497
杜康-DR      ,597
東元         ,1841
東台         ,342
東和         ,192
東和鋼鐵     ,385
東森         ,2900
東科-KY      ,136
東聯         ,1163
東華         ,18
東訊         ,49
東貝         ,1939
東陽         ,1610
東鹼         ,1332
松翰         ,143
柏承         ,407
柏騰         ,149
根基         ,39
楠梓電       ,2216
榮創         ,2062
榮成         ,629
榮星         ,78
榮運         ,585
樂士         ,11
樺漢         ,1051
橋椿         ,814
櫻花         ,201
櫻花建       ,27
欣天然       ,38
欣巴巴       ,107
欣欣         ,14
欣興         ,7927
欣陸         ,659
欣高         ,7
歐格         ,31
正峰新       ,152
正崴         ,1494
正文         ,374
正新         ,2794
正道         ,162
正達         ,1362
正隆         ,599
毅嘉         ,5007
毛寶         ,2391
永信         ,167
永光         ,915
永冠-KY      ,1947
永大         ,612
永裕         ,64
永記         ,30
永豐金       ,10191
永豐餘       ,442
江申         ,2111
泰碩         ,72
泰聚亨-DR    ,0
泰豐         ,249
泰金寶-DR    ,2643
泰銘         ,202
泰鼎-KY      ,332
洋華         ,763
浩鑫         ,535
海光         ,239
海悅         ,0
海華         ,3515
淘帝-KY      ,273
淳安         ,201
漢唐         ,303
漢平         ,6937
漢翔         ,1360
潤弘         ,483
潤泰全       ,1094
潤泰新       ,1351
潤隆         ,148
瀚宇博       ,921
瀚荃         ,534
炎洲         ,718
為升         ,579
無敵         ,132
燁興         ,73
燁輝         ,642
燦坤         ,137
燦星網       ,363
燿華         ,3934
牧德         ,329
特力         ,602
